episode,Reward-1
10,31.3948987025
20,36.9011242902
30,37.0592966882
40,38.6243356182
50,40.6517875638
60,43.1301826021
70,45.0291371255
80,46.8605520074
90,48.8804398348
100,50.7654413837
110,52.2513357345
120,53.9225113585
130,56.4545596619
140,59.1669841265
150,61.8863245889
160,65.2947389439
170,68.739294939
180,76.844934097
190,86.5695045295
200,99.2213631476
210,114.6579918678
220,133.6338422601
230,152.7626108031
240,176.8626785705
250,197.8648094354
260,215.1749361229
270,234.9191487888
280,251.5486973858
290,267.9068578486
300,282.1268363645
310,296.9872048518
320,311.4615941214
330,326.7727549491
340,341.0141711438
350,355.8008729653
360,369.3504614737
370,382.3859014847
380,393.8544617443
390,403.7384769954
400,413.9089575315
410,422.9950097799
420,433.5116895064
430,443.6732917489
440,452.8661668731
450,460.5685105367
460,468.1619881657
470,475.37733524
480,482.6723858815
490,490.8442505965
500,496.8945473353
510,503.9590983246
520,509.30203545
530,516.6946147988
540,522.2839168815
550,528.1601454773
560,532.898345075
570,538.4907393407
580,544.4469958677
590,548.0581148911
600,552.7324184844
610,556.4477945619
620,560.1742409396
630,564.3245630776
640,566.9742002317
650,569.9214256209
660,572.386483828
670,575.1469808158
680,577.7389706716
690,581.0617579459
700,584.6314233055
710,589.1516516434
720,592.5188084801
730,596.6693810897
740,599.1179422572
750,601.8122001284
760,604.4426894478
770,606.9811890705
780,609.1015333212
790,611.8564453505
800,614.0854694496
810,617.1300028993
820,619.6762206701
830,622.490537679
840,625.0232959933
850,628.1720849391
860,630.6377902363
870,633.4012066957
880,635.7674288767
890,637.613411386
900,639.8695855136
910,642.3677531517
920,645.1422997078
930,648.0110728737
940,650.8989300062
950,653.4739983652
960,655.1904088105
970,656.6690556595
980,658.7360313158
990,660.2963889063
1000,661.9730693785
1010,663.6014342117
1020,664.1891386935
1030,665.6458810711
1040,667.619718599
1050,669.0494121832
1060,670.6102427591
1070,672.8326787754
1080,674.6262841719
1090,676.0098547802
1100,677.7386448123
1110,679.6261063357
1120,681.4480595615
1130,683.2692613526
1140,684.3342736487
1150,685.743221365
1160,686.8238686762
1170,688.5395232309
1180,690.2669204128
1190,691.9408166562
1200,693.5062226284
1210,695.0585066462
1220,696.5336106522
1230,697.4811099895
1240,698.4005239016
1250,699.0708139342
1260,699.6877459636
1270,700.103216011
1280,700.7780994175
1290,702.2860771376
1300,703.5856818564
1310,704.776892247
1320,706.0437989918
1330,707.1746259468
1340,708.7293360438
1350,710.2528165401
1360,711.6671761823
1370,713.4700295665
1380,714.9221982479
1390,716.2643143108
1400,717.4580456414
1410,718.8043475633
1420,720.4468405134
1430,721.6467833789
1440,722.9661688405
1450,724.0535018981
1460,725.4729494104
1470,726.6767971903
1480,727.7996118589
1490,728.8000329151
1500,729.9927797982
1510,730.6925723767
1520,731.4571969406
1530,732.1641499366
1540,732.7276501612
1550,733.8796041183
1560,734.6181268744
1570,735.5069652459
1580,736.5602938058
1590,737.5562004966
1600,738.6746636921
1610,739.6389542667
1620,740.5267703071
1630,741.5266347042
1640,742.5022603424
1650,743.6687398896
1660,744.8098752899
1670,746.0034651619
1680,747.1939403338
1690,748.1192674238
1700,749.174067214
1710,750.3058771032
1720,751.2560846689
1730,752.4422199044
1740,753.5826831731
1750,754.1431017156
1760,754.7823750334
1770,755.0257362447
1780,755.2609485173
1790,755.3571513688
1800,755.0239543415
1810,754.880650164
1820,754.8922901308
1830,755.5229695255
1840,756.218020652
1850,757.1100399748
1860,757.9829362293
1870,758.653962751
1880,759.4913461439
1890,760.5371796587
1900,761.5853927013
1910,762.2933723051
1920,763.0019282411
1930,763.5664915437
1940,764.0119960825
1950,764.4765177808
1960,765.1116545138
1970,765.7542424976
1980,766.4338508979
1990,767.140714253
2000,767.8584191852
2010,768.6114379721
2020,768.9541589985
2030,769.2698940635
2040,769.5663378722
2050,769.9094054454
2060,770.4843298724
2070,771.0521478317
2080,771.537121104
2090,771.9661974759
2100,772.4833866511
2110,772.7719406871
2120,773.0975493844
2130,773.5525127746
2140,774.2123876687
2150,774.8065253617
2160,774.9630856383
2170,774.9823829601
2180,774.7982790923
2190,774.4388655323
2200,774.1503313187
2210,774.0356673095
2220,773.830021573
2230,773.836065061
2240,773.8052907484
2250,773.9417715212
2260,774.250367069
2270,774.5808546492
2280,774.8280266323
2290,774.9801312311
2300,775.3161628912
2310,775.6118882133
2320,775.7962831464
2330,775.8469482775
2340,775.9318358906
2350,775.9444946448
2360,776.0164847287
2370,776.1006487703
2380,776.3454537866
2390,776.6120306892
2400,776.9929034523
2410,777.2046479804
2420,777.3841122097
2430,777.5529302964
2440,777.5410039155
2450,777.7193214886
2460,778.0588054526
2470,778.4409408649
2480,778.8741427803
2490,779.2810241686
2500,779.6783961665
2510,779.9689091226
2520,780.3010494664
2530,780.4779726752
2540,780.7410544588
2550,780.9637958159
2560,781.2653712811
2570,781.5294122961
2580,781.5931825334
2590,781.6729027496
2600,781.5914824233
2610,781.3897703034
2620,781.257413698
2630,781.3807824377
2640,781.6558901018
2650,781.6896971442
2660,781.8487156666
2670,781.6397252383
2680,781.4674098618
2690,781.45062236
2700,781.555802709
2710,781.5045191902
2720,781.3456390247
2730,781.5296888652
2740,781.8827388001
2750,782.0020809263
2760,782.0831076285
2770,782.4350178737
2780,782.9547104013
2790,783.3560259876
2800,783.678632312
2810,784.0558417807
2820,784.3910329695
2830,784.6488329712
2840,784.9012007776
2850,785.1519714955
2860,785.4179243388
2870,785.6971687243
2880,785.9681724114
2890,786.4081627518
2900,786.9300655215
2910,787.4949842364
2920,787.9018247489
2930,788.0355038436
2940,788.3017836024
2950,788.3097391856
2960,788.4403323047
2970,788.5548211837
2980,788.4470702353
2990,788.918861426
3000,789.2378252854
3010,789.5894325314
3020,790.0143131847
3030,790.4488456845
3040,791.0006450205
3050,791.4240977307
3060,791.884738653
3070,792.2588282499
3080,792.0891400626
3090,792.0605713077
3100,791.8078772661
3110,791.9904590754
3120,792.3441390399
3130,792.6650180672
3140,793.1318591593
3150,793.3549869353
3160,793.2343293162
3170,793.3102599125
3180,793.6758671606
3190,793.907714643
3200,794.044375791
3210,794.2565963843
3220,794.3076870559
3230,794.2779730496
3240,794.6501744459
3250,795.1028107482
3260,795.5151007906
3270,795.9001401836
3280,795.9134562689
3290,795.965252127
3300,796.0006529757
3310,796.1444496058
3320,796.2363855695
3330,796.4353105851
3340,796.6641224489
3350,796.9019647287
3360,796.9644966989
3370,797.2041565878
3380,797.4418350593
3390,797.5949312693
3400,797.7574818596
3410,797.8907102116
3420,798.0573707222
3430,798.2664074887
3440,798.471608455
3450,798.784800826
3460,798.8027102355
3470,798.8967286378
3480,798.7750724315
3490,798.7133598711
3500,798.9639364958
3510,799.2949204869
3520,799.5116718239
3530,799.6338139942
3540,799.73759409
3550,799.8271637135
3560,799.8459880989
3570,799.8723782513
3580,799.966732642
3590,800.0450730324
3600,800.023970151
3610,800.0006346414
3620,800.1162131304
3630,800.2973394669
3640,800.5422758648
3650,800.8299100425
3660,801.1115657864
3670,801.4249173449
3680,801.687954881
3690,801.815170157
3700,801.9717143619
3710,802.1646553206
3720,802.3726931652
3730,802.5815992892
3740,802.7690277716
3750,802.9994504107
3760,803.2393469529
3770,803.5266849655
3780,803.8189416942
3790,804.1648045334
3800,804.4760899797
3810,804.6668633584
3820,804.9164480007
3830,805.1795395694
3840,805.5716260141
3850,805.9191661116
3860,806.2670804254
3870,806.6565888637
3880,806.9796133408
3890,807.266891967
3900,807.6052112596
3910,807.8931979174
3920,808.1185818726
3930,808.3225224185
3940,808.5989706686
3950,808.6951288607
3960,808.8285020855
3970,808.9010330408
3980,808.7992038684
3990,808.6725802827
4000,808.7923278077
4010,808.870797386
4020,808.9442578988
4030,809.0514687399
4040,809.3376127834
4050,809.6489468676
4060,809.8982092246
4070,810.2161044087
4080,810.4744051663
4090,810.7827125175
4100,811.0567051265
4110,811.2894992247
4120,811.4152714203
4130,811.6467037232
4140,811.7950413433
4150,812.1398022626
4160,812.4350182834
4170,812.6118719655
4180,812.701566109
4190,812.8762977652
4200,812.9424960045
4210,813.1930966469
4220,813.3468768549
4230,813.412782902
4240,813.3185031994
4250,813.4758944695
4260,813.6897622585
4270,813.8421378859
4280,813.9156629276
4290,814.0199260454
4300,814.1701445076
4310,814.2777862325
4320,814.4446939021
4330,814.6828060337
4340,814.9629085854
4350,815.2195898977
4360,815.4702567519
4370,815.7319082507
4380,816.0006427374
4390,816.1142402625
4400,816.3028342016
4410,816.469626199
4420,816.5982573334
4430,816.7709348906
4440,816.9972993298
4450,817.1681250872
4460,817.3877557811
4470,817.4442953842
4480,817.609597143
4490,817.8516997083
4500,818.0983653823
4510,818.2923577196
4520,818.497857674
4530,818.7525858374
4540,818.9737559632
4550,819.229132734
4560,819.4437897244
4570,819.6185528661
4580,819.6773525858
4590,819.7401860099
4600,819.7063869974
4610,819.6359488997
4620,819.6513683436
4630,819.7182539239
4640,819.7809346605
4650,819.8447226002
4660,819.9209592752
4670,820.030942727
4680,820.0809981461
4690,820.1764166076
4700,820.2604729084
4710,820.3765969276
4720,820.4599938151
4730,820.4782546153
4740,820.514864446
4750,820.5504751646
4760,820.536492571
4770,820.5461649744
4780,820.488730605
4790,820.4489027509
4800,820.47142947
4810,820.4697249832
4820,820.3471754389
4830,820.300936479
4840,820.2427021063
4850,820.1490986717
4860,820.1216559562
4870,820.0771614461
4880,820.1029827424
4890,820.1674708679
4900,820.1197281927
4910,820.0766601676
4920,820.0515134251
4930,820.0672918855
4940,819.9688323315
4950,819.8564323097
4960,819.746803966
4970,819.5061351315
4980,819.3523579938
4990,819.2062121031
5000,818.9301354445
